ts,agent_id,throttle,steer,brake
3041071,0,0.0,0.023205852136015892,1.0
3041072,0,0.23537281155586243,0.023548055440187454,0.0
3041073,0,0.3408350646495819,0.02157624252140522,0.0
3041074,0,0.383880078792572,0.019835658371448517,0.0
3041075,0,0.4370306432247162,0.017454400658607483,0.0
3041076,0,0.5158735513687134,0.017148775979876518,0.0
3041077,0,0.5861574411392212,0.016082752496004105,0.0
3041078,0,0.6867258548736572,0.014105293899774551,0.0
3041079,0,0.8136701583862305,0.012713822536170483,0.0
3041080,0,0.8999999761581421,0.011571891605854034,0.0
3041081,0,0.8999999761581421,0.01121355127543211,0.0
3041082,0,0.8999999761581421,0.01022038608789444,0.0
3041083,0,0.8999999761581421,0.004876484628766775,0.0
3041084,0,0.8999999761581421,0.004687612876296043,0.0
3041085,0,0.8999999761581421,0.001525850035250187,0.0
3041086,0,0.8999999761581421,-0.0006358280079439282,0.0
3041087,0,0.8999999761581421,-0.00027971333474852145,0.0
3041088,0,0.8999999761581421,-0.00041930246516130865,0.0
3041089,0,0.8999999761581421,-0.0026255261618644,0.0
3041090,0,0.8999999761581421,-0.0030315183103084564,0.0
3041091,0,0.8999999761581421,-0.005544601008296013,0.0
3041092,0,0.8999999761581421,-0.004185013473033905,0.0
3041093,0,0.8999999761581421,-0.00620545307174325,0.0
3041094,0,0.8999999761581421,-0.006752433255314827,0.0
3041095,0,0.8999999761581421,-0.007659086491912603,0.0
3041096,0,0.8999999761581421,-0.007520148064941168,0.0
3041097,0,0.8999999761581421,-0.008494794368743896,0.0
3041098,0,0.8999999761581421,-0.008445815183222294,0.0
3041099,0,0.8999999761581421,-0.00898822583258152,0.0
3041100,0,0.8999999761581421,-0.009173722006380558,0.0
3041101,0,0.8999999761581421,-0.008269323967397213,0.0
3041102,0,0.8999999761581421,-0.007424529641866684,0.0
3041103,0,0.8999999761581421,-0.007665255106985569,0.0
3041104,0,0.8999999761581421,-0.007301274221390486,0.0
3041105,0,0.8999999761581421,-0.00654305936768651,0.0
3041106,0,0.8999999761581421,-0.006477787159383297,0.0
3041107,0,0.8999999761581421,-0.006202366668730974,0.0
3041108,0,0.8999999761581421,-0.007661256939172745,0.0
3041109,0,0.8999999761581421,-0.008343820460140705,0.0
3041110,0,0.8999999761581421,-0.0075675309635698795,0.0
3041111,0,0.8999999761581421,-0.007709944620728493,0.0
3041112,0,0.8999999761581421,-0.008535402826964855,0.0
3041113,0,0.8999999761581421,-0.0069693997502326965,0.0
3041114,0,0.8999999761581421,-0.007159532513469458,0.0
3041115,0,0.8999999761581421,-0.009636247530579567,0.0
3041116,0,0.8999999761581421,-0.009547797963023186,0.0
3041117,0,0.8999999761581421,-0.009383554570376873,0.0
3041118,0,0.8999999761581421,-0.009123144671320915,0.0
3041119,0,0.8999999761581421,-0.005072825588285923,0.0
3041120,0,0.8999999761581421,-0.005337294656783342,0.0
3041121,0,0.8999999761581421,-0.004710875451564789,0.0
3041122,0,0.8999999761581421,-0.003429591655731201,0.0
3041123,0,0.8999999761581421,-0.0027882966678589582,0.0
3041124,0,0.8999999761581421,-0.004061944782733917,0.0
3041125,0,0.8999999761581421,-0.0030629856046289206,0.0
3041126,0,0.8999999761581421,-0.000623105326667428,0.0
3041127,0,0.8999999761581421,-0.0002735433808993548,0.0
3041128,0,0.8999999761581421,-0.0008203284814953804,0.0
3041129,0,0.8999999761581421,-0.0016821461031213403,0.0
3041130,0,0.8999999761581421,-0.002644773107022047,0.0
3041131,0,0.8999999761581421,-0.002459126990288496,0.0
3041132,0,0.8999999761581421,-0.0035211360082030296,0.0
3041133,0,0.8999999761581421,-0.004073459189385176,0.0
3041134,0,0.8999999761581421,-0.003595771500840783,0.0
3041135,0,0.8999999761581421,-0.0035497418139129877,0.0
3041136,0,0.8999999761581421,-0.004043675493448973,0.0
3041137,0,0.8999999761581421,-0.004320857580751181,0.0
3041138,0,0.8999999761581421,-0.00415141461417079,0.0
3041139,0,0.8999999761581421,-0.004639310762286186,0.0
3041140,0,0.8999999761581421,-0.004026195965707302,0.0
3041141,0,0.8999999761581421,-0.0049232118763029575,0.0
3041142,0,0.8999999761581421,-0.003999494016170502,0.0
3041143,0,0.8999999761581421,-0.0047437213361263275,0.0
3041144,0,0.8999999761581421,-0.004553153645247221,0.0
3041145,0,0.8999999761581421,-0.005315754096955061,0.0
3041146,0,0.8999999761581421,-0.005516948644071817,0.0
3041147,0,0.8999999761581421,-0.0065546054393053055,0.0
3041148,0,0.8999999761581421,-0.007085736375302076,0.0
3041149,0,0.8999999761581421,-0.006377744488418102,0.0
